Date;coke;pep;apple;micro
07/11/2001;34.07777023;15.50790024;22.18000031;2.900859594
08/11/2001;34.37086868;15.45305634;21.75;2.761793137
09/11/2001;34.41406631;15.35778618;21.75;2.839219093
12/11/2001;34.23200607;15.47615433;22.17000008;2.929424524
13/11/2001;34.99102783;15.33469391;22.20000076;2.960996866
14/11/2001;35.43840408;15.06333542;19.13999939;2.857259989
15/11/2001;35.36434937;15.27118874;18.06999969;2.672339201
16/11/2001;35.48158646;15.0200367;18;2.594160557
19/11/2001;36.01226807;15.04889488;19.54999924;2.717441559
20/11/2001;36.20866013;15.28273487;18.42000008;2.724958658
21/11/2001;35.95928192;15.51656151;19.12999916;2.565219879
23/11/2001;36.55158997;15.5742979;19.32999992;2.435549259
26/11/2001;36.45804596;15.60317326;20.44000053;2.405104876
27/11/2001;36.23360443;15.52522755;19.89999962;2.418635845
28/11/2001;35.72234726;15.61471748;19.20000076;2.405104876
29/11/2001;35.92186737;15.74751568;19.89999962;2.61596036
30/11/2001;35.71923828;15.8774128;18.96999931;2.802009583
03/12/2001;35.4978981;16.0102005;18.75;2.814413071
04/12/2001;36.29596329;15.90339088;19;2.718569517
05/12/2001;37.05348969;15.92360592;19;2.930552006
06/12/2001;37.04414368;15.85431099;19.36000061;2.857259989
07/12/2001;36.87892532;15.9178257;19;2.875301123
10/12/2001;36.03409958;16.02175522;18.70000076;2.882066727
11/12/2001;36.11201477;15.62914753;18.5;3.066987991
12/12/2001;36.1619072;15.31159878;18.38999939;3.147045612
13/12/2001;35.86265564;15.35489464;17.15999985;2.909128666
14/12/2001;36.09955597;15.70421124;16.75;2.865153551
17/12/2001;36.56715012;15.58872986;16.75;3.041054249
18/12/2001;37.25299454;15.54543781;16.62000084;2.909128666
19/12/2001;37.34653854;15.82545948;16;2.905745983
20/12/2001;36.93501663;16.05062294;15.30000019;2.7738204
21/12/2001;37.1594696;16.33641243;16;2.836964369
24/12/2001;37.22805786;16.29888916;16.39999962;2.802009583
26/12/2001;37.60527039;16.38837624;16.54999924;3.026395798
27/12/2001;37.45876312;16.31043243;16.20000076;3.021885395
28/12/2001;37.38393021;16.30465889;16.93000031;2.988058329
31/12/2001;36.8508606;16.09392929;15.81999969;2.932807684
02/01/2002;36.51728058;16.11990547;15.96000004;2.979037762
03/01/2002;36.39571762;16.13433838;15.44999981;2.971145153
04/01/2002;36.50482559;16.10547066;16.05999947;3.025267839
07/01/2002;36.06838989;15.9928894;15.81999969;2.936190128
08/01/2002;35.86576462;15.88895512;16.27000046;2.931679964
09/01/2002;35.74104309;15.80236053;15.94999981;2.880939007
10/01/2002;35.28903198;15.94669724;15.93999958;2.88432169
11/01/2002;35.47296143;16.19301224;16.01000023;2.707293749
14/01/2002;34.84014893;16.19590569;13.71000004;2.649787426
15/01/2002;34.13560104;16.16113663;13.88000011;2.721951962
16/01/2002;32.32749176;16.37267494;14.25;2.77156496
17/01/2002;32.58312225;16.63347816;14.60000038;2.789605856
18/01/2002;33.29388809;16.63638115;13.64999962;2.750141621
22/01/2002;33.17544556;16.65665817;15;2.751268864
23/01/2002;33.4996376;16.63058281;15.39999962;2.79637146
24/01/2002;34.1231308;16.6160965;14.80000019;3.103070021
25/01/2002;34.67490768;16.58711815;14.93999958;2.999333858
28/01/2002;34.45979691;16.47410011;14.39999962;2.993695736
29/01/2002;33.87062454;16.29153824;14.60999966;2.931679964
30/01/2002;34.25092697;16.36688042;14.76000023;2.941828251
31/01/2002;34.60321045;16.72041512;14.85000038;2.963251829
01/02/2002;35.31086731;16.64507103;15.01000023;2.911383867
04/02/2002;34.13560104;16.40455055;14.15999985;2.880939007
05/02/2002;33.87996292;16.51757431;13.89999962;2.860643148
06/02/2002;34.19481659;16.20460701;13.14999962;2.737738132
07/02/2002;34.13870239;16.1060791;13.25;2.787350893
08/02/2002;34.6686821;16.02203941;13.02999973;2.883194685
11/02/2002;35.5415535;16.13505745;13.39999962;2.886577129
12/02/2002;35.59142303;16.26545525;13.53999996;2.927169323
13/02/2002;36.10266876;16.21909332;13.51000023;2.991441011
14/02/2002;36.44247437;16.30602646;13.60000038;3.045564651
15/02/2002;36.01226807;16.6160965;13.55000019;3.010609627
19/02/2002;35.53531647;16.39875221;12.60000038;2.900107622
20/02/2002;36.90629959;16.68564606;11.5;2.964379311
21/02/2002;36.55960846;16.56102562;10.94999981;2.889959335
22/02/2002;37.50511932;16.69433975;10.02000046;3.011737108
25/02/2002;37.96212006;16.45091629;10.30000019;3.059095144
26/02/2002;37.5996666;16.36978722;10.30000019;3.077136517
27/02/2002;37.50511932;16.34079933;10.64999962;3.275588274
28/02/2002;37.16788864;16.38716698;9.930000305;3.220337391
01/03/2002;37.9211235;16.65956116;10.05000019;3.362411261
04/03/2002;38.76895142;16.62478065;9.949999809;3.481933832
05/03/2002;37.86756134;15.94380093;9.659999847;3.434575558
06/03/2002;38.31510162;16.23358154;10.10000038;3.368049383
07/03/2002;38.17643356;15.74964428;10;3.419916868
08/03/2002;38.29304504;15.67430592;10.14999962;3.642048359
11/03/2002;37.97787476;15.84237576;10.19999981;3.631900311
12/03/2002;38.23001862;15.99306297;10.02000046;3.507867813
13/03/2002;37.66269302;16.08289528;9.859999657;3.448106527
14/03/2002;38.00624084;15.89164066;9.930000305;3.431192875
15/03/2002;38.26151657;15.65111923;10.14999962;3.302650213
18/03/2002;38.51366425;15.50623322;10.23999977;3.321818829
19/03/2002;38.35606766;15.46856117;11.43000031;3.245144367
20/03/2002;37.7887764;15.01070404;10.88000011;3.16959691
21/03/2002;37.28451157;15.17298031;10.48999977;3.315052986
22/03/2002;36.68251801;15.56128788;10.60000038;3.163958788
25/03/2002;36.46506119;15.18746853;10.89999962;3.162831306
26/03/2002;36.76446915;15.31207371;10.78999996;3.224848032
27/03/2002;36.86217499;15.04257584;10.68000031;3.286864042
28/03/2002;36.24760056;15.24252319;11.10000038;3.36353898
01/04/2002;36.32638931;15.42798805;11.25;3.354518414
02/04/2002;36.24129105;15.49752712;10.63000011;3.191020727
03/04/2002;35.58573532;15.34395123;10.25;3.202296257
04/04/2002;35.96710205;15.30049133;10;3.259802818
05/04/2002;38.42855835;15.04257584;9.5;3.222593069
08/04/2002;38.96434402;15.05416489;9.149999619;3.274461031
09/04/2002;39.3709259;15.25990963;9.140000343;3.264312744
10/04/2002;39.44025421;15.81629753;9.210000038;3.375942469
11/04/2002;39.03053665;15.66350079;9.359999657;3.301522493
12/04/2002;38.51997757;15.62566757;8.770000458;3.365793943
15/04/2002;38.30880737;15.6431284;8.840000153;3.480806112
16/04/2002;39.21018219;15.8119278;8.699999809;3.572139263
17/04/2002;38.92968369;15.86140251;8.25;3.530419111
18/04/2002;38.98009491;15.91087818;8.989999771;3.564246416
19/04/2002;39.36146545;15.93415928;8.340000153;3.546205044
22/04/2002;39.39928436;15.82939625;8.289999962;3.487571478
23/04/2002;39.16921234;15.88468742;8.109999657;3.340987444
24/04/2002;39.55372238;15.61693764;8.020000458;3.407514095
25/04/2002;40.01071167;15.53835773;7.829999924;3.50561285
26/04/2002;39.20701599;15.75081158;7.360000134;3.371431828
29/04/2002;38.65233994;15.4655962;6.949999809;3.344369888
30/04/2002;39.64826965;15.70133591;7.010000229;3.549587727
01/05/2002;39.71129227;16.00692177;7.099999905;3.625134945
02/05/2002;40.07688904;15.71588516;7.199999809;3.580032587
03/05/2002;40.02645493;15.54999542;7.199999809;3.448106527
06/05/2002;39.15029907;15.18620491;6.840000153;3.534929752
07/05/2002;39.17235947;15.0406847;6.650000095;3.455999613
08/05/2002;39.76803207;15.25023365;7.610000134;3.828097105
09/05/2002;39.80586243;15.17747307;7.5;3.642048359
10/05/2002;39.99494934;14.91554832;7.25;3.584542513
13/05/2002;40.49922562;14.84860802;6.760000229;3.776229382
14/05/2002;40.96881866;15.05814743;6.960000038;3.687150955
15/05/2002;40.81440353;13.64954567;7.090000153;3.662344694
16/05/2002;40.78603363;13.31484699;7;3.691661596
17/05/2002;40.99403763;13.85325623;7;3.722105503
20/05/2002;40.4172821;13.68155098;6.690000057;3.707447529
21/05/2002;40.02016449;13.57096291;6.210000038;3.637538195
22/05/2002;40.59306335;13.85325623;7.300000191;3.648813486
23/05/2002;40.89543152;13.8969202;7.699999809;3.908154011
24/05/2002;40.72356033;13.64954567;7.099999905;3.835990429
28/05/2002;40.35117722;13.61170673;7.130000114;3.78524971
29/05/2002;39.7846489;13.7077446;7.309999943;3.72097826
30/05/2002;39.81647491;13.60297871;7.539999962;3.743529558
31/05/2002;39.92150497;13.82416248;7.400000095;3.678130388
03/06/2002;39.60959244;13.21881008;7.150000095;3.639793396
04/06/2002;39.81010056;13.00053406;7.099999905;3.90251708
05/06/2002;40.01699448;13.11112595;7.139999866;3.618369341
06/06/2002;39.32313156;13.0238142;6.75;3.345497608
07/06/2002;39.60639572;13.20134354;7.010000229;3.386090517
10/06/2002;40.10290527;13.2915678;6.610000134;3.495464325
11/06/2002;39.93740463;11.14663696;6.400000095;3.351135492
12/06/2002;40.596241;10.77411556;6.329999924;3.295884848
13/06/2002;40.03926468;10.46270466;6.300000191;3.242888927
14/06/2002;40.11883163;10.69553375;5.670000076;3.157194138
17/06/2002;40.45303345;10.99239063;6;3.26995039
18/06/2002;40.89862442;11.27760601;6.199999809;3.33647728
19/06/2002;40.65988922;10.95746708;6.389999866;3.254164934
20/06/2002;40.36073303;10.9632864;6.389999866;3.225975275
21/06/2002;39.46637344;10.51509285;6.739999771;3.175234795
24/06/2002;39.50455856;10.83232021;6.800000191;3.163958788
25/06/2002;39.02397537;11.09134293;6.75;3.224848032
26/06/2002;38.96350098;11.04477692;7.150000095;3.148173332
27/06/2002;39.83876038;11.39402008;7.190000057;3.26995039
28/06/2002;39.14809036;10.95746708;8.470000267;3.276716232
01/07/2002;40.54850769;10.85560417;7.519999981;3.124494076
02/07/2002;40.02972031;10.70426559;7;2.959869146
03/07/2002;40.134758;10.79739857;7.349999905;2.971145153
05/07/2002;41.33464813;10.90508175;7.659999847;3.070370913
08/07/2002;41.10549164;10.7682972;7.039999962;2.935062408
09/07/2002;40.73945999;10.30554962;7.130000114;2.853877306
10/07/2002;39.46637344;9.866091728;6.630000114;2.932807684
11/07/2002;38.63884354;9.275557518;6.199999809;2.988058329
12/07/2002;38.47015381;9.715154648;6.5;3.062478065
15/07/2002;37.83996582;10.11079407;6.380000114;3.083902121
16/07/2002;36.88832474;9.847029686;6.400000095;3.195530891
17/07/2002;37.38483047;10.14010334;6.179999828;3.184255362
18/07/2002;37.12702942;9.691711426;6.28000021;3.036543846
19/07/2002;34.65400696;9.419156075;6.289999962;2.886577129
22/07/2002;34.69219589;9.378130913;6.489999771;2.714058876
23/07/2002;35.57065964;9.085062981;5.989999771;2.7738204
24/07/2002;38.10412979;9.80307579;5.71999979;3.098560095
25/07/2002;38.17733002;11.0251627;5.880000114;2.976782799
26/07/2002;38.46379471;11.32701683;6.050000191;3.016247272
29/07/2002;40.31297302;11.62008572;5.860000134;3.156066179
30/07/2002;39.9405899;11.83988667;5.960000038;3.17072463
31/07/2002;40.04881287;12.13588047;6.619999886;3.238378286
01/08/2002;38.87119675;11.69628334;6.289999962;3.125621796
02/08/2002;38.15187836;11.75782776;6.25;3.036543846
05/08/2002;37.14295197;11.0925703;5.550000191;2.94859314
06/08/2002;38.61020279;11.1570406;6;3.066987991
07/08/2002;39.40272141;11.68163204;6;3.154938459
08/08/2002;40.16656876;11.94246578;6.090000153;3.087284327
